ID,Observed,Species,Salvaged,Sex,Count,LifeStage,LifeState,Disposition,Decomposition,Latitude,Longitude,Highway,Milepost,Note,Reporter,Reported,County,Region,GMU,Path
1866005,2019-04-15,Elk (Cervus canadensis),Yes,Female,1,Unknown,Dead,Unknown,Unknown,45.3553661,-116.3915778,null,null,Light brown coat. Medium sized mature elk cow. Contained a fetus. Cow was allegedly spooked by car and was tangled in wire fence. Probably happened the morning of April 15th 2019 or evening of April 14th 2019. Discovered around 10:00 A.M of April 15th 2019. ,Anonymous,4/15/2019,Idaho,Clearwater Region,18,https://idfg.idaho.gov/species/roadkill/1866005
1866004,2019-04-15,White-tailed Deer (Odocoileus virginianus),No,Female,1,Juvenile,Dead,Fish and Game Removal,Moderate,43.82323697,-111.8439323,SH-33,null,Relatively fresh,idfg-hturner,4/15/2019,Madison,Upper Snake Region,60A,https://idfg.idaho.gov/species/roadkill/1866004
1866002,2019-04-15,White-tailed Deer (Odocoileus virginianus),No,Male,1,Juvenile,Dead,Fish and Game Removal,Skeletal,43.82616153,-111.8799616,SH-33,null,Leathery skin slid off bones,idfg-hturner,4/15/2019,Madison,Upper Snake Region,63A,https://idfg.idaho.gov/species/roadkill/1866002
1865997,2019-04-15,Mule Deer (Odocoileus hemionus),No,Male,1,Unknown,Dead,Unknown,Unknown,42.82233,-112.38767,null,null,Buck Fawn,idfg-ebartholomew,4/15/2019,Bannock,Southeast Region,71,https://idfg.idaho.gov/species/roadkill/1865997
1866003,2019-04-15,White-tailed Deer (Odocoileus virginianus),No,Female,1,Mature (Adult),Dead,Fish and Game Removal,Advanced,43.82616106,-111.8828705,SH-33,null,null,idfg-hturner,4/15/2019,Madison,Upper Snake Region,63A,https://idfg.idaho.gov/species/roadkill/1866003
1865995,2019-04-15,White-tailed Deer (Odocoileus virginianus),No,Female,1,Juvenile,Dead,Moved to Ditch,Moderate,43.82627426,-111.9023626,SH-33,null,Probably less than 2 weeks decomposition,idfg-hturner,4/15/2019,Madison,Upper Snake Region,63A,https://idfg.idaho.gov/species/roadkill/1865995
1865996,2019-04-15,Mule Deer (Odocoileus hemionus),No,Female,1,Mature (Adult),Dead,Moved to Woods-Brush,Advanced,43.82641185,-111.9266756,SH-33,null,Fetus near,idfg-hturner,4/15/2019,Madison,Upper Snake Region,63A,https://idfg.idaho.gov/species/roadkill/1865996
1865991,2019-04-15,Mule Deer (Odocoileus hemionus),No,Female,1,Juvenile,Dead,Moved to Woods-Brush,Advanced,43.82449126,-112.043361,SH-33,null,Near adult female,idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,60A,https://idfg.idaho.gov/species/roadkill/1865991
1865990,2019-04-15,Mule Deer (Odocoileus hemionus),No,Female,1,Mature (Adult),Dead,Fish and Game Removal,Advanced,43.82450023,-112.0428216,SH-33,null,"Fawn is a bit farther up, i think",idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,60A,https://idfg.idaho.gov/species/roadkill/1865990
1865986,2019-04-15,Mule Deer (Odocoileus hemionus),No,Female,1,Mature (Adult),Dead,Moved to Woods-Brush,Advanced,43.82493211,-112.0745453,SH-33,null,With female fawn,idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,60A,https://idfg.idaho.gov/species/roadkill/1865986
1865985,2019-04-15,Mule Deer (Odocoileus hemionus),No,Female,1,Juvenile,Dead,Moved to Woods-Brush,Advanced,43.82489573,-112.0745654,SH-33,null,With female adult,idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,60A,https://idfg.idaho.gov/species/roadkill/1865985
1865984,2019-04-15,Great Horned Owl (Bubo virginianus),No,Unknown,1,Unknown,Dead,Fish and Game Removal,Advanced,43.87696269,-112.2048418,I-15,null,Very advanced decomp,idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1865984
1865983,2019-04-15,Great Horned Owl (Bubo virginianus),No,Unknown,1,Unknown,Dead,Fish and Game Removal,Advanced,43.97095806,-112.2275443,I-15,null,Very decomposed,idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1865983
1865981,2019-04-15,Mule Deer (Odocoileus hemionus),No,Female,1,Mature (Adult),Dead,Moved to Woods-Brush,Advanced,43.99232395,-112.2312945,I-15,null,"Very advanced decomp, lymph nodes not possible",idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1865981
1865982,2019-04-15,Mule Deer (Odocoileus hemionus),No,Male,1,Yearling,Dead,Fish and Game Removal,Advanced,44.00414344,-112.2328878,I-15,null,Smelly!,idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1865982
1865980,2019-04-15,Mule Deer (Odocoileus hemionus),No,Unknown,1,Juvenile,Dead,Fish and Game Removal,Advanced,44.01303601,-112.2340955,I-15,null,Just a leathery scrap that had been run over multiple times,idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1865980
1865976,2019-04-15,Elk (Cervus canadensis),Yes,Female,1,Unknown,Dead,Unknown,Unknown,43.54318571,-113.4897735,US-93,236.3,cow elk,cratersofthemoon,4/15/2019,Butte,Upper Snake Region,52A,https://idfg.idaho.gov/species/roadkill/1865976
1865978,2019-04-15,Elk (Cervus canadensis),No,Male,1,Mature (Adult),Dead,Fish and Game Removal,Skeletal,44.02189598,-112.2353888,I-15,null,Antlers broken off,idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1865978
1865975,2019-04-15,White-tailed Deer (Odocoileus virginianus),Yes,Male,1,Unknown,Dead,Unknown,Unknown,48.80222648,-116.3228434,null,null,Largest Male deer I have ever tried to pick up. Laying in the ditch in the south bound lane just off of 95. He had 2 broken legs and a head fracture. Picked up at 0620 on 04/15/2019.,Anonymous,4/15/2019,Boundary,Panhandle Region,1,https://idfg.idaho.gov/species/roadkill/1865975
1865979,2019-04-15,Golden Eagle (Aquila chrysaetos),No,Unknown,1,Unknown,Dead,Fish and Game Removal,Advanced,44.03634328,-112.236207,I-15,null,Only abt a half mile from a roadkill cang where i also found a goea tail feather. Likely killed while scavenging,idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1865979
1865977,2019-04-15,Canada Goose (Branta canadensis),No,Unknown,1,Mature (Adult),Dead,Fish and Game Removal,Moderate,44.04385569,-112.2362133,I-15,null,Scavenged and an eagle tail feather was near,idfg-hturner,4/15/2019,Jefferson,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1865977
1865974,2019-04-15,Black-tailed Jack Rabbit (Lepus californicus),No,Unknown,1,Unknown,Dead,Fish and Game Removal,Moderate,44.05814562,-112.2362248,I-15,null,Moderate decomp. ,idfg-hturner,4/15/2019,Clark,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1865974
